1460.0000000000	0.0005389262
1460.0100000000	0.0005488263
1460.0200000000	0.0005540995
1460.0300000000	0.0005519833
1460.0400000000	0.0005503407
1460.0500000000	0.0005576729
1460.0600000000	0.0005565605
1460.0700000000	0.0005550097
1460.0800000000	0.0005583807
1460.0900000000	0.0005617616
1460.1000000000	0.0005656355
1460.1100000000	0.0005735415
1460.1200000000	0.0005840295
1460.1300000000	0.0005922005
1460.1400000000	0.0006014906
1460.1500000000	0.0006071390
1460.1600000000	0.0006193053
1460.1700000000	0.0006340976
1460.1800000000	0.0006478462
1460.1900000000	0.0006650566
1460.2000000000	0.0006842144
1460.2100000000	0.0006948621
1460.2200000000	0.0007156272
1460.2300000000	0.0007387354
1460.2400000000	0.0007639381
1460.2500000000	0.0007933190
1460.2600000000	0.0008107600
1460.2700000000	0.0008373765
1460.2800000000	0.0008649015
1460.2900000000	0.0008935307
1460.3000000000	0.0009152582
1460.3100000000	0.0009426808
1460.3200000000	0.0009667880
1460.3300000000	0.0009885999
1460.3400000000	0.0010157217
1460.3500000000	0.0010468763
1460.3600000000	0.0010781933
1460.3700000000	0.0010939982
1460.3800000000	0.0010917603
1460.3900000000	0.0010799876
1460.4000000000	0.0010595025
1460.4100000000	0.0010407942
1460.4200000000	0.0010280330
1460.4300000000	0.0010166470
1460.4400000000	0.0010081856
1460.4500000000	0.0010016423
1460.4600000000	0.0009996647
1460.4700000000	0.0010054698
1460.4800000000	0.0010059528
1460.4900000000	0.0010092609
1460.5000000000	0.0010069038
1460.5100000000	0.0009995262
1460.5200000000	0.0009922639
1460.5300000000	0.0009903158
1460.5400000000	0.0009903158
1460.5500000000	0.0009946429
1460.5600000000	0.0009933673
1460.5700000000	0.0009840586
1460.5800000000	0.0009863639
1460.5900000000	0.0009951523
1460.6000000000	0.0010026062
1460.6100000000	0.0010126078
1460.6200000000	0.0010290205
1460.6300000000	0.0010444541
1460.6400000000	0.0010653564
1460.6500000000	0.0010856592
1460.6600000000	0.0011094134
1460.6700000000	0.0011360832
1460.6800000000	0.0011570892
1460.6900000000	0.0011798943
1460.7000000000	0.0011944859
1460.7100000000	0.0012026818
1460.7200000000	0.0011951316
1460.7300000000	0.0011889530
1460.7400000000	0.0011869686
1460.7500000000	0.0011826739
1460.7600000000	0.0011906817
1460.7700000000	0.0012101900
1460.7800000000	0.0012311312
1460.7900000000	0.0012581218
1460.8000000000	0.0012924834
1460.8100000000	0.0013312453
1460.8200000000	0.0013629396
1460.8300000000	0.0013863891
1460.8400000000	0.0014130320
1460.8500000000	0.0014374026
1460.8600000000	0.0014468904
1460.8700000000	0.0014428723
1460.8800000000	0.0014381709
1460.8900000000	0.0014234306
1460.9000000000	0.0014021291
1460.9100000000	0.0013774507
1460.9200000000	0.0013503431
1460.9300000000	0.0013253355
1460.9400000000	0.0013037916
1460.9500000000	0.0012903465
1460.9600000000	0.0012820467
1460.9700000000	0.0012877768
1460.9800000000	0.0012879325
1460.9900000000	0.0012843584
1461.0000000000	0.0012810345
1461.0100000000	0.0012799280
1461.0200000000	0.0012781445
1461.0300000000	0.0012763610
1461.0400000000	0.0012694270
1461.0500000000	0.0012466802
1461.0600000000	0.0012204561
1461.0700000000	0.0011952821
1461.0800000000	0.0011678070
1461.0900000000	0.0011494724
1461.1000000000	0.0011331113
1461.1100000000	0.0011149370
1461.1200000000	0.0011041203
1461.1300000000	0.0010870869
1461.1400000000	0.0010744728
1461.1500000000	0.0010725487
1461.1600000000	0.0010782182
1461.1700000000	0.0010713078
1461.1800000000	0.0010717611
1461.1900000000	0.0010641820
1461.2000000000	0.0010588829
1461.2100000000	0.0010488739
