1460,-0.111959380231191,-24.2841958189494
1460.01,-0.0988124759176081,-24.2727345284019
1460.02,-0.14765891243659,-23.9981571630194
1460.03,-0.146289697984265,-24.0425005535651
1460.04,-0.164405589331168,-23.8910909299286
1460.05,-0.171993759152866,-23.8462665226637
1460.06,-0.228281164147698,-23.5341131554464
1460.07,-0.163063137231682,-23.7295443560614
1460.08,-0.137424678465248,-23.6681723729351
1460.09,-0.188610838438323,-23.3016179436246
1460.1,-0.144062764172014,-23.4464992574392
1460.11,-0.15550472212345,-23.3617859201209
1460.12,-0.188215318548571,-23.2077078748344
1460.13,-0.133829185837021,-23.4842257803353
1460.14,-0.128186511390097,-23.540550500624
1460.15,-0.145057498075972,-23.5253709170818
1460.16,-0.127000753133753,-23.6631522453963
1460.17,-0.147229823829192,-23.5986778547377
1460.18,-0.152448343230586,-23.6606556258563
1460.19,-0.132316806387379,-23.8860882053248
1460.2,-0.123171048967642,-24.1088499090873
1460.21,-0.131010931768254,-24.2890761819823
1460.22,-0.116306361447855,-24.5180117863051
1460.23,-0.0928226632891467,-24.7269001721409
1460.24,-0.0880376184073311,-24.7605726642142
1460.25,-0.0878365467637699,-24.7500016090016
1460.26,-0.0974375923013966,-24.6965532988599
1460.27,-0.0997928762549168,-24.6527399009119
1460.28,-0.151454149409929,-24.2558972255803
1460.29,-0.132248853922061,-24.2133590586548
1460.3,-0.114763098204153,-24.2298750586538
1460.31,-0.123251409687761,-24.1159586480962
1460.32,-0.15178825735817,-23.8963480808588
1460.33,-0.129805685827534,-24.0829274968024
1460.34,-0.126231782030003,-24.2710141350807
1460.35,-0.13268658465196,-24.2122467458757
1460.36,-0.129568005088146,-24.1287392269354
1460.37,-0.184468008402968,-23.8484724211795
1460.38,-0.210007412470577,-23.7740973347791
1460.39,-0.14499187480966,-24.1475616559756
1460.4,-0.146357717141222,-24.0626975411618
1460.41,-0.154148274408569,-23.8907657896323
1460.42,-0.129759695378901,-23.9923214893327
1460.43,-0.13122097644283,-24.0006425524316
1460.44,-0.142919831902354,-23.9306574081225
1460.45,-0.142983294418178,-23.9708681990546
1460.46,-0.160638509168979,-23.9534345103937
1460.47,-0.168826054015078,-23.9068615368693
1460.48,-0.153061483287637,-23.8937116605537
1460.49,-0.188197308453725,-23.5888137103654
1460.5,-0.234092247254416,-23.239551526978
1460.51,-0.227093994924033,-23.2129561379034
1460.52,-0.221185140904488,-23.2374987366937
1460.53,-0.236462120617753,-23.1470674676795
1460.54,-0.207267345968477,-23.2546849275025
1460.55,-0.175373576386534,-23.407577222569
1460.56,-0.186999000739558,-23.429260893705
1460.57,-0.195325092155164,-23.4875911247258
1460.58,-0.180749536024338,-23.7530840966478
1460.59,-0.176534634813422,-24.0779734855822
1460.6,-0.157016676785268,-24.252371340669
1460.61,-0.130591314110705,-24.1740491891205
1460.62,-0.155046310108982,-23.9233535693971
1460.63,-0.136447111123604,-24.1210413637591
1460.64,-0.112373804596635,-24.3094689335545
1460.65,-0.126932024081032,-24.2295703186585
1460.66,-0.125016255353952,-24.2150435802818
1460.67,-0.112684788091215,-24.2354740392087
1460.68,-0.142160238910874,-23.9772393832792
1460.69,-0.157023543123182,-23.7716409148732
1460.7,-0.172456207503519,-23.5536629267755
1460.71,-0.175863156279144,-23.370016303546
1460.72,-0.155410707345522,-23.2942288629911
1460.73,-0.169556472212436,-23.0911495522136
1460.74,-0.170221334668582,-23.0792230479003
1460.75,-0.174351686379171,-23.1398065557313
1460.76,-0.212859501616416,-22.9677896776727
1460.77,-0.213871721221732,-22.9537663200142
1460.78,-0.173656534445752,-23.1981147905048
1460.79,-0.155231853045101,-23.3555404744687
1460.8,-0.134519593821914,-23.5136111758821
1460.81,-0.114267870173412,-23.7143122850912
1460.82,-0.122895714440904,-23.7611487913504
1460.83,-0.135915280957098,-23.6558731283421
1460.84,-0.122351653406215,-23.6029066840614
1460.85,-0.12960760796669,-23.4479876335169
1460.86,-0.137057366097803,-23.3811653415966
1460.87,-0.112712038213373,-23.5516604639904
1460.88,-0.109225907869327,-23.6158156241047
1460.89,-0.113911343242117,-23.6112518539906
1460.9,-0.113023102408966,-23.5651810056487
1460.91,-0.120331753058618,-23.4738240673015
1460.92,-0.129365782645684,-23.4378084150625
1460.93,-0.120928085366123,-23.4844615111503
1460.94,-0.137632762642689,-23.3067245266728
1460.95,-0.154945819253528,-23.1191175266499
1460.96,-0.136615028831448,-23.2164602194466
1460.97,-0.140266744680566,-23.2648601525037
1460.98,-0.142953024075956,-23.3066884410005
